label,message
ham,Your parcel has been delivered. Check at the security desk.
ham,Dinner at Saravana Bhavan tonight? My treat!
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
spam,Airtel: Your account has won a special bonus. Dial +918660094639 to redeem now.
spam,Your SIM has been deactivated. Reactivate now by calling +918846177693
ham,Don't forget to bring milk on your way back from office.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 919071189549 to process.
ham,Call me when you're free. Need to discuss something important.
spam,Your SIM has been deactivated. Reactivate now by calling 918846212475
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +918191983628 to process.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial +918064626128
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 919968904999 to process.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 09098941589
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09993103918
ham,Remember to wish Papa happy birthday at midnight!
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +919000756556
spam,Airtel: Your account has won a special bonus. Dial 08699206892 to redeem now.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +918564692634
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
spam,Your SIM has been deactivated. Reactivate now by calling 919746849380
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Don't forget to bring milk on your way back from office.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 919682792922
spam,LIC Policy: You're eligible for bonus amount. Contact 08007480804 to claim.
spam,Paytm: Congratulations! You've won ₹1000 cashback. Claim at 07662095144
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,URGENT: Your PAN card has been blocked. Verify immediately at +919013406048
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 918274796299
spam,Your WhatsApp account will be banned in 24 hours. Verify at 08422351577
spam,You have won a free trip to Goa! Text YES to +917698422338 to claim your package.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 08868614264
spam,Airtel: Your account has won a special bonus. Dial +917179985912 to redeem now.
spam,Win ₹10000 cash prize! Call 07585065066 to claim your reward. Hurry!
ham,Can you pick up the kids from school today? I have a meeting.
ham,Don't forget to bring milk on your way back from office.
spam,Airtel: Your account has won a special bonus. Dial 08594408985 to redeem now.
spam,Jio: Congratulations! You've been selected for 10GB free data. Claim at 919993616369
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 08765662997 to process.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call +918372443050
spam,Aadhaar Alert: Your document needs verification. Contact +918751837571 immediately.
spam,Aadhaar Alert: Your document needs verification. Contact 918586603545 immediately.
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call 09543790684 to process.
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 918805953222
ham,Let's meet for chai at the usual place at 5 PM?
ham,Remember to wish Papa happy birthday at midnight!
ham,Did you finish the project report? Need to submit it by EOD.
spam,URGENT: Your PAN card has been blocked. Verify immediately at 919905389903
ham,Dinner at Saravana Bhavan tonight? My treat!
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +919079727205 to process.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 919887207056
ham,Don't forget to bring milk on your way back from office.
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
ham,Let's meet for chai at the usual place at 5 PM?
ham,Your parcel has been delivered. Check at the security desk.
spam,URGENT: Your PAN card has been blocked. Verify immediately at +917617330206
spam,Your SIM has been deactivated. Reactivate now by calling 09065689084
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 07773957788
ham,Your doctor appointment is confirmed for tomorrow 11 AM.
spam,Your WhatsApp account will be banned in 24 hours. Verify at 919271393804
ham,Your parcel has been delivered. Check at the security desk.
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Don't forget to bring milk on your way back from office.
ham,Call me when you're free. Need to discuss something important.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Happy Diwali! May this festival bring joy and prosperity to your family.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,You have won a free trip to Goa! Text YES to +918164254698 to claim your package.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,Your SIM has been deactivated. Reactivate now by calling 09086338885
spam,Airtel: Your account has won a special bonus. Dial 09769046104 to redeem now.
spam,Win ₹10000 cash prize! Call +918699540666 to claim your reward. Hurry!
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,"Hi beta, when are you coming home? Mom has made your favorite food."
ham,Meeting postponed to 3 PM tomorrow. Please update your calendar.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
spam,You have won a free trip to Goa! Text YES to +919023872381 to claim your package.
spam,Your WhatsApp account will be banned in 24 hours. Verify at +918450413735
ham,Don't forget to bring milk on your way back from office.
spam,You have won a free trip to Goa! Text YES to +917639439327 to claim your package.
ham,I'll be 15 minutes late for dinner. Traffic is bad on MG Road.
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
spam,Aadhaar Alert: Your document needs verification. Contact 919225238533 immediately.
ham,Remember to wish Papa happy birthday at midnight!
ham,Movie tickets booked for Saturday evening. Show at 7 PM.
ham,Call me when you're free. Need to discuss something important.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 917516395493
spam,You have won a free trip to Goa! Text YES to +918098621251 to claim your package.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at +918661533351
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Flipkart Big Billion Days: You've won a smartphone! Claim at 08447012980
ham,Don't forget to pay the electricity bill today to avoid late fee.
spam,Aadhaar Alert: Your document needs verification. Contact +917421307005 immediately.
ham,Remember to wish Papa happy birthday at midnight!
spam,Bank Alert: Your SBI card has won a lottery of ₹50000. Call +919078888345 to process.
ham,Did you finish the project report? Need to submit it by EOD.
spam,Free recharge! Your number has been selected for ₹500 talktime. Dial 09165590914
spam,Income Tax Refund: You have unclaimed refund of ₹12500. Call 917221945200
spam,Your WhatsApp account will be banned in 24 hours. Verify at 09262109606
